Store Number,Address,City,State,Zip Code,Phone Number,Fax Number,Email Address,Store Hours,Services,Latitude,Longitude
US802,"2490 Route 97, Suite 5",Glenwood,MD,21738,((410) 489-0360),(410) 489-0354,pakmail802@comcast.net, Monday-Friday9:00 am - 6:00 pm Saturday9:00 am - 2:00 pm Sunday , Contact the store for information on available services. ,39.30309,-77.02068
US441,4393 Kevin Walker Drive,Montclair,VA,22025,(703-583-7304),703-583-7105,US441@pakmail.org, Monday-Friday9:00am - 7:00pm Saturday9:00am - 5:00pm Sunday ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",38.603853,-77.341465
US643,1001-C N. Fillmore Street,Arlington,VA,22201,(703-351-7777),703-351-0007,ship@pakmailva.com, Monday-Friday9am - 7pm Saturday10am - 4pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental ",38.884762,-77.09275
US313,"325 Garrisonville Rd., #106",Stafford,VA,22554,(540-659-9757),540-720-0562,bethseda_inc@yahoo.com, Monday-Friday9:00 am - 6:00 pm Saturday9:30 am - 3:00 pm Sunday , Contact the store for information on available services. ,38.475415,-77.426644
US763,3113 Valley Ave Suite 104,Winchester,VA,22601,(540-722-9620),540-722-9621,us763@pakmail.org, Monday-Friday9am - 6pm Saturday9am - 3pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Local pick up and delivery service ",39.1427,-78.1922
US827,1624 Laskin Rd #736,Virginia Beach,VA,23451,(757-491-6330),757-425-6257,us827@pakmail.org, Monday-Friday Saturday Sunday ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies ",36.851118,-76.020899
US172,222 W 21st Street Suite F,Norfolk,VA,23517,( 757-626-0065),757-626-1669, US172@pakmail.org , Monday-Friday8:30 am - 6:00 pm Saturday10:00 am - 4:00 pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Packaging and moving supplies Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",36.868469,-76.287221
US470,"11312 US 15-501 North, #107",Chapel Hill,NC,27517,(919-967-3020),919-967-1050,pakmail470@aol.com, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Custom crating and Packing ,35.879926,-79.0632
US332,"1815 M.L. King Jr. Pkwy., #2",Durham,NC,27707,(919-403-8511),919-403-1456,durhampakmail@gmail.com, Monday-Friday9am - 6pm Saturday10am - 5pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",35.960849,-78.955651
US815,5594 C Sunset Blvd.,Lexington,SC,29072,(803-356-6245),803-356-2282,pakmail815@windstream.net, Monday-Friday8:30am- 6:00pm Saturday10:00am - 2:00pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service Specializing in nationwide auto shipping! ",33.994099,-81.226689
US288,"1739 Maybank Hwy., #B8",Charleston,SC,29412,(843-795-7197),843-795-7132,sgortat@sc.rr.com, Monday-Friday9am - 6pm Saturday10am - 4pm Sundayclosed , Custom crating and Packing ,32.762651,-79.976186
US137,"1121 Park West Blvd., Ste. B",Mt. Pleasant,SC,29466,(843-856-1888),843-856-1898,parkwestpakmail@hotmail.com, Monday-Friday8am - 6pm Saturday10am - 2pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Local pick up and delivery service ",32.87221,-79.775985
US793,"2500 Clements Ferry Road, Suite H",Charleston,SC,29492,(843-884-5007),843-884-5131,US793@pakmail.org, Monday-Friday8am - 6pm Saturday10am - 2pm SundayNone ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Notary public ",32.895288,-79.922585
US321,1754 Woodruff Rd. #204,Greenville,SC,29607,(864-627-8400),864-627-8300,pakmail.us321@gmail.com, Monday-Friday9:00am - 6:30pm Saturday10:00am - 3:00pm Sundayclosed , Contact the store for information on available services. ,34.819345,-82.272441
US707,2434 Hudson Road,Greer,SC,29650,(864-244-0560),864-244-1038,us707@paKmail.org, Monday-Friday8:30am - 7pm Saturday10am - 3pm Sundayclosed ," Custom crating and packing: any size, any weight Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public ",34.8927,-82.289893
US320,419 The Parkway,Greer,SC,29650,(864-879-6600),864-879-6677,wmanwaring@aol.com, Monday-Friday8:45am - 6pm Saturday9am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",34.868665,-82.256181
US806,1085 Old Clemson Highway #E (Bloom Plaza),Seneca,SC,29672,(864-654-1717),864-654-1716,US806@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps ",34.695506,-82.878189
US712,"2905 Jordan Court, Suite B",Alpharetta,GA,30004,(770-475-7900),770-475-6090,info@pakmail796.net, Monday-Friday9am - 6:30pm SaturdayClosed SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Notary public Local pick up and delivery service ",34.089629,-84.275951
US394,"13800 Highway 9 N, Suite D",Alpharetta,GA,30004,(770-475-3330),770-475-1321,PAKMAIL394@gmail.com, Monday-Friday9am - 6pm Saturday10am - 2pm SundayClosed , Contact the store for information on available services. ,34.143617,-84.251206
US402,4920 Atlanta Highway,Alpharetta,GA,30004,(770-664-7808),770-664-7071,US402@pakmail.org, Monday-Friday9am - 6pm Saturday9:30am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",34.15889,-84.24001
US301,"9925 Haynes Bridge Rd., #1-200",Alpharetta,GA,30022,(770-410-9910),770-410-9878,harris145934@bellsouth.net, Monday-Friday10am - 5pm Saturday10am - 2pm SundayClosed , Contact the store for information on available services. ,34.027542,-84.269294
US308,"11585 Jones Bridge Rd., #420",Alpharetta,GA,30022,(770-442-0204),770-442-0608,us308@pakmail.org, Monday-Friday10am - 6pm Saturday10am - 2pm Sundayclosed , Contact the store for information on available services. ,34.062423,-84.214912
US784,"3495 Peachtree Parkway, Suite 114",Suwanee,GA,30024,(678-208-0909),678-208-0910,US784@pakmail.org, Monday-Friday9:30am - 6pm Saturday10am - 2pm Sundayclosed , Contact the store for information on available services. ,34.07699,-84.1628
US339,"3550 Centerville Hwy., #107",Snellville,GA,30039,(770-985-9872),770-985-9873,"US339@pakmail.org, robertwalford@yahoo.com", Monday-Friday9am - 6pm Saturday10am - 3pm SundayClosed , Contact the store for information on available services. ,33.802329,-84.042519
US694,1032 Old Peachtree Road #402,Lawrenceville,GA,30043,(678-442-8098),678-442-8096,pakmail694@Yahoo.com, Monday-Friday10:00am - 6:30pm Saturday10:00am - 1:30pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",33.99974,-84.06901
US317,"1475 Buford Dr., Hwy 20, #403",Lawrenceville,GA,30043,(770-338-2727),770-338-2726,pak.317@hotmail.com, Monday-Friday9am - 6pm Saturday10am - 3pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",34.00561,-83.988128
US809,3370 Sugarloaf Parkway G-2,Lawrenceville,GA,30044,(678-377-9554),678-377-0081,US809@pakmail.org, Monday-Friday9:30am - 6:30pm Saturday10am - 3pm Sundayclosed , Contact the store for information on available services. ,33.92052,-84.01632
US698,930 New Hope Road Ste. 11,Lawrenceville,GA,30045,(770-236-8800),770-236-8833,pakmail698@hotmail.com, Monday-Friday8am - 6pm Saturday10am - 3pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",33.934226,-83.95803
US392,4045 Five Forks Trickum Rd #B8,Lilburn,GA,30047,(770-638-7201),770-638-7202,US392@pakmail.org, Monday-Friday9:30am - 6pm Saturday10am - 4pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Shipping and receiving Packaging and moving supplies Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",33.869362,-84.09138
US016,1050 E. Piedmont Rd. ,Marietta,GA,30062,(770-977-2040),770-977-0077,US016@pakmail.org," Monday-Friday9am - 6pm, Fri 9am - 5:30pm Saturday9am - 1pm SundayClosed "," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Notary public Local pick up and delivery service ",33.976739,-84.479676
US430,1860 Sandy Plains Road #204,Marietta,GA,30066,(770-321-8262),770-321-8225,e.slette@hotmail.com, Monday-Friday9am - 5:30pm Saturday10am - 2pm SundayClosed , Contact the store for information on available services. ,33.996166,-84.507336
US808,1515 Pleasant Hill Rd,Duluth,GA,30096,(678-924-3525),888-241-7133,pakmailduluth@gmail.com, Monday-Friday9am - 6:15pm Saturday9am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public ",33.941744,-84.123235
US822,6768 Hickory Flat Hwy. Suite 102,Canton,GA,30115,(770-345-2020),770-345-2021,ship@pakmail822.com, Monday-Friday9:30 AM - 6:00PM Saturday9:30 AM - 2:00 PM SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public ",34.17015,-84.417123
US363,2090 Baker Rd. Ste 304,Kennesaw,GA,30144,(770-426-9811),770-426-1841,US363@pakmail.org, Monday-Friday9:30am - 7:00pm Saturday10:00am - 4:00pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",34.049282,-84.61188
US209,"2204 Shorter Ave., #10",Rome,GA,30165,(706-232-2020),706-232-0222,US209@pakmail.org, Monday-Friday9:00 am - 5:00 pm Saturday Sunday , Contact the store for information on available services. ,34.271209,-85.226291
US796,5370 Campbelton-Fairburn Rd,Fairburn,GA,30213,(770-306-8656),770-306-8657,info@pakmail796.net, Monday-Friday9:30am - 7:30pm Saturday10:00am - 4:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",33.608896,-84.610235
US805,1741-O Newnan Crossing Blvd. East,Newnan,GA,30265,(678-423-8339),678-423-8337,pakmail805@bellsouth.net, Monday-Friday9am - 6pm Saturday9am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps ",33.38177,-84.75343
US220,"3150 E. Highway 34, #209",Newnan,GA,30265,(770-502-9121),770-502-9119,US220@pakmail.org, Monday-Friday8:30am - 6pm Saturday10am - 2pm Sundayclosed , Custom crating and Packing ,33.407672,-84.6784
US787,1227 N. Peachtree Parkway,Peachtree City,GA,30269,(770-486-7364),770-486-7365,pakmailkedron@yahoo.com, Monday-Friday9:00am - 6:00pm Saturday9:00am - 2:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",33.43667,-84.58958
US341,156 Peachtree E. Shopping Center,Peachtree City,GA,30269,(770-631-4066),770-631-4084,pakmailatl@yahoo.com, Monday-Friday9am - 6pm Saturday10am - 2pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Notary public ",33.42266,-84.55659
US655,"1200 Highway 74 So., Suite6",Peachtree City,GA,30269,(770-486-0069),770-486-6229,pakmail655@bellsouth.net, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Contact the store for information on available services. ,33.34327,-84.53608
US684,1510 Hwy. 74 N.,Tyrone,GA,30290,(770-306-9171),770-306-9181,US684@pakmail.org, Monday-Friday8:30am - 6pm Saturday10am - 2pm Sundayclosed ," Domestic and international shipping by air, ground, or ocean Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public ",33.487735,-84.585326
US600,595 Piedmont Ave. NE #320,Atlanta,GA,30308,(404-815-7123),404-815-7164,US600@pakmail.com, Monday-Friday10am - 7pm Saturday10am - 2pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Notary public Local pick up and delivery service ",33.770984,-84.381892
US425,1100 Hammond Drive #410A,Atlanta,GA,30328,(770-350-9944),770-350-9924,US425@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Notary public Local pick up and delivery service ",33.918847,-84.348983
US324,"3695 Cascade Rd., #F",Atlanta,GA,30331,(404-699-2828),404-699-9807,US324@PakMail.org, Monday-Friday9:30 am - 7:30 pm Saturday9:30 am - 4:30 pm Sunday , Contact the store for information on available services. ,33.723788,-84.509634
US316,"8725 Roswell Rd., Ste O",Sandy Springs,GA,30350,(770-587-2898),770-587-3102,info@pakmail796.net, Monday-Friday9:30am - 7:00pm Saturday10:00am-2:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",33.995008,-84.351128
US795,"143 Power Center Drive, Suite 120",Dawsonville,GA,30534,(706-216-6245),706-344-1276,US795@pakmail.org, Monday-Friday9:00am - 6:00pm Saturday9:00am - 1:00pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",34.356273,-84.0454
US751,"916 Loganville Highway, Suite 320",Bethlehem,GA,30620,(770-307-0350),770-307-0351,pakmailofbethlehem@gmail.com, Monday-Friday9:30am - 5:30pm Saturday10:30am - 2:30pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service Specializing in nationwide auto shipping! ",33.944416,-83.756487
US417,136 W. Belmont Drive #11,Calhoun,GA,30701,(706-629-6245),706-629-0059,pakmail417@comcast.net, Monday-Friday9am - 6pm Saturday9am - 1pm SundayClosed , Custom crating and Packing ,34.478998,-84.935635
US818,107 Grand Central Blvd. #205,Pooler,GA,31322,(912-748-9499),912-748-5816,US818@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Contact the store for information on available services. ,32.13402,-81.25642
US428,"5500 Abercorn St., Ste. 32",Savannah,GA,31405,(912-355-8840),912-355-3490,pakmail428@yahoo.com, Monday-Friday9am - 6pm Saturday9am - 1pm Sundayclosed , Contact the store for information on available services. ,32.0256,-81.109047
US645,2300 Brunswick hwy,Waycross,GA,31503,(912-338-9293),912-338-9954,waycrosspakmail@bellsouth.net, Monday-Friday10am - 6pm Saturday9am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Notary public Local pick up and delivery service ",31.204389,-82.326119
US804,200 Daniel Lane,Brunswick,GA,31523,(912-265-8004),912-265-8888,pakmailbrunswick@bellsouth.net, Monday-Friday8:30 am - 5:30 pm Saturday9:00 am - 12:00 pm Sunday ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps ",31.247699,-81.54535
US450,"3539 Apalachee Pkwy., #C",Tallahassee,FL,32311,(850-309-7225),850-309-1451,US450@pakmail.org, Monday-Friday9:00 am - 6:00 pm Saturday10:00 am - 2:00 pm Sunday , Contact the store for information on available services. ,30.42818,-84.215864
